,%polar,total sasa,apolar,polar,,,,,,,,,,,,,,,
1,12.374,253.61,222.228,31.3817,,,,,,,,,,,,,,,
2,4.22169,333.704,319.617,14.088,,,,,,,,,,,,,,,
3,13.5221,467.9,404.631,63.2699,,,,,,,,,,,,,,,
4,10.0768,432.895,389.273,43.6219,,,,,,,,,,,,,,,
5,9.9364,368.674,332.041,36.6329,,,,,,,,,,,,,,,
6,9.61146,298.643,269.939,28.704,,,,,,,,,,,,,,,
7,9.77024,425.861,384.253,41.6077,,,,,,,,,,,,,,,
8,3.76082,332.443,319.94,12.5026,,,,,,,,,,,,,,,
9,13.5598,324.986,280.919,44.0673,,,,,,,,,,,,,,,
10,9.64319,419.729,379.254,40.4753,,,,,,,,,,,,,,,
11,5.00012,332.495,315.869,16.6251,,,,,,,,,,,,,,,
12,11.058,331.969,295.26,36.7092,,,,,,,,,,,,,,,
13,6.92595,348.135,324.024,24.1117,,,,,,,,,,,,,,,
14,15.3038,357.527,302.812,54.7153,,,,,,,,,,,,,,,
15,7.70076,473.583,437.113,36.4695,,,,,,,,,,,,,,,
16,10.1612,362.947,326.067,36.8797,,,,,,,,,,,,,,,
17,5.6605,246.195,232.259,13.9359,,,,,,,,,,,,,,,
18,10.4997,350.313,313.531,36.7819,,,,,,,,,,,,,,,
19,5.07399,327.216,310.613,16.6029,,,,,,,,,,,,,,,
20,9.91181,299.912,270.186,29.7268,,,,,,,,,,,,,,,
21,5.65799,305.246,287.975,17.2708,,,,,,,,,,,,,,,
22,3.39008,382.59,369.619,12.9701,,,,,,,,,,,,,,,
23,0,163.619,163.619,0,,,,,,,,,,,,,,,
24,7.0083,448.202,416.79,31.4113,,,,,,,,,,,,,,,
25,13.2949,388.976,337.262,51.7139,,,,,,,,,,,,,,,
26,6.02562,333.329,313.244,20.0852,,,,,,,,,,,,,,,
27,4.2462,312.432,299.165,13.2665,,,,,,,,,,,,,,,
28,3.30172,406.488,393.067,13.4211,,,,,,,,,,,,,,,
29,17.7229,297.789,245.012,52.7769,,,,,,,,,,,,,,,
